snapped_at,price,market_cap,total_volume
2016-03-26,416.715,6401148697,1604214632
2016-03-27,425.349,6535264077,2326287424
2016-03-28,422.756,6497115017,2155194926
2016-03-29,415.547,6388027424,2681866389
2016-03-30,412.597,6344204936,2387281658
2016-03-31,415.366,6388090245,1432304099
2016-04-01,416.754,6410999714,447338223
2016-04-02,419.67,6457346881,633704454
2016-04-03,418.185,6435354873,429476810.4
2016-04-04,419.437,6456959981,525611739.8
2016-04-05,422.651,6508054062,541558101.3
2016-04-06,421.656,6494387878,527136257.7
2016-04-07,421.076,6486917899,593936633.5
2016-04-08,418.474,6448380946,727873660.9
2016-04-09,416.145,6413012926,791269617.3
2016-04-10,421.133,6492839084,484836963.8
2016-04-11,422.584,6516847462,710470936.9
